Index,Timestamp,Fp1,Fp2,F3,F4,T5,T6,O1,O2,F7,F8,C3,C4,T3,T4,P3,P4
69.0,0.26953125,-310046.769386,-3469.169553,-640582.399438,993384.658502,-765436.561756,-907281.983767,-882933.960311,-1084458.540017,-3747796.92266,-3203245.127588,-3210388.387488,-2939285.151873,-2923845.818501,-418862.392767,-3084068.129548,-2607905.698765
70.0,0.2734375,-310076.273689,-3491.700112,-640645.699578,993290.781175,-765434.415988,-907277.15579,-883126.006499,-1084463.904436,-3747785.120938,-3203231.716541,-3210366.929813,-2939264.767082,-2924109.211458,-419030.299071,-3084033.260826,-2607890.141951
71.0,0.27734375,-310041.404967,-3144.622224,-640697.734439,993434.547595,-765446.754151,-907277.15579,-883261.18985,-1084488.04432,-3747779.220078,-3203254.783542,-3210377.122209,-2939257.256896,-2924289.455925,-418850.054604,-3084034.870152,-2607899.261463
72.0,0.28125,-309980.787037,-3098.488223,-640668.766578,993434.011153,-765465.529617,-907286.811744,-883154.97436,-1084513.257088,-3747780.292962,-3203265.512379,-3210380.34086,-2939256.720454,-2924043.76555,-418616.16595,-3084046.671873,-2607914.281835
73.0,0.28515625,-309994.734525,-3420.353344,-640648.918229,993206.02336,-765474.649128,-907301.295674,-883090.064894,-1084521.840158,-3747782.975171,-3203244.054704,-3210361.028953,-2939253.501803,-2923859.229548,-418690.194927,-3084035.943036,-2607910.526742
74.0,0.2890625,-310041.941409,-3524.423066,-640702.562416,993071.912893,-765454.264337,-907284.665976,-883267.627152,-1084503.064692,-3747758.298845,-3203203.821564,-3210321.332255,-2939223.461059,-2924109.211458,-418884.386883,-3083991.418361,-2607873.512253
75.0,0.29296875,-310029.066805,-3287.315761,-640762.643905,993108.39094,-765449.972802,-907273.937139,-883437.679224,-1084508.429111,-3747741.669147,-3203203.285122,-3210315.431394,-2939204.685593,-2924365.63067,-418769.051882,-3083975.861547,-2607861.17409
76.0,0.296875,-309969.521757,-3325.403133,-640739.576905,993234.991221,-765470.894035,-907293.249046,-883361.504479,-1084540.079181,-3747744.351357,-3203218.841936,-3210327.769557,-2939211.122896,-2924189.677738,-418501.903832,-3083994.637012,-2607876.730904
77.0,0.30078125,-309978.641269,-3345.251482,-640703.6353,993244.110733,-765480.013547,-907308.80586,-883256.898315,-1084550.271577,-3747745.42424,-3203198.993587,-3210305.238999,-2939204.685593,-2923944.523805,-418520.142856,-3083984.981058,-2607870.293602
78.0,0.3046875,-310037.649874,-3480.971274,-640748.696416,993076.74087,-765474.112686,-907311.488069,-883391.545223,-1084543.834274,-3747739.52338,-3203172.707936,-3210283.781324,-2939192.883872,-2924130.132691,-418728.2823,-3083958.158965,-2607850.981695
79.0,0.30859375,-310033.358339,-3211.677457,-640810.923673,993165.253778,-765479.477105,-907311.488069,-883577.690551,-1084553.490228,-3747731.476752,-3203173.78082,-3210285.927091,-2939183.76436,-2924419.274857,-418676.247439,-3083950.112337,-2607844.00795
80.0,0.3125,-309966.303106,-2989.054083,-640807.16858,993261.813314,-765490.742384,-907312.024511,-883535.311644,-1084573.875019,-3747730.94031,-3203187.728308,-3210290.755068,-2939180.545709,-2924309.304274,-418264.796527,-3083958.695407,-2607852.59102
81.0,0.31640625,-309946.454757,-3241.18176,-640764.253231,993084.251056,-765479.477105,-907303.441441,-883392.618107,-1084568.5106,-3747717.529263,-3203160.906215,-3210256.422789,-2939158.015151,-2924009.969712,-418084.55206,-3083910.952081,-2607831.669787
82.0,0.3203125,-310003.854037,-3477.216181,-640796.976184,992880.403147,-765478.404221,-907310.415186,-883478.985247,-1084567.974158,-3747715.383496,-3203130.86547,-3210230.673579,-2939147.286313,-2924121.013179,-418641.378718,-3083865.890964,-2607810.748555
83.0,0.32421875,-310016.1922,-3273.368272,-640861.88565,992922.245612,-765479.477105,-907310.415186,-883674.786529,-1084575.484344,-3747712.701286,-3203132.474796,-3210236.57444,-2939141.385453,-2924438.050322,-418713.79837,-3083859.990103,-2607806.993461
84.0,0.328125,-309955.574269,-2984.226106,-640872.078046,993037.580614,-765486.450849,-907309.342302,-883669.42211,-1084594.25981,-3747708.409751,-3203144.812959,-3210244.084626,-2939132.802383,-2924408.009578,-418426.801971,-3083869.109615,-2607812.35788
85.0,0.33203125,-309915.341129,-3173.590085,-640823.798278,992796.718216,-765503.080547,-907330.799977,-883506.880225,-1084621.618345,-3747720.211473,-3203143.203633,-3210240.865975,-2939141.921895,-2924091.508876,-418326.487342,-3083878.765569,-2607824.159601
86.0,0.3359375,-309970.594641,-3461.122925,-640842.573743,992823.540309,-765502.544105,-907342.065256,-883539.066737,-1084624.836996,-3747716.992821,-3203114.235772,-3210219.4083,-2939135.484592,-2924119.403853,-418511.559786,-3083857.307894,-2607809.675671
87.0,0.33984375,-309993.125199,-3376.36511,-640908.556093,992902.933705,-765519.173803,-907357.62207,-883732.185809,-1084644.148903,-3747724.503007,-3203124.96461,-3210227.99137,-2939139.776127,-2924432.149462,-418591.489624,-3083855.162126,-2607812.35788
88.0,0.34375,-309951.819176,-3327.012459,-640930.550209,993053.137428,-765517.028036,-907346.356791,-883770.273181,-1084648.440438,-3747703.045333,-3203124.428168,-3210223.163393,-2939119.391336,-2924483.647881,-418327.560225,-3083849.261266,-2607805.384136
89.0,0.34765625,-309901.930082,-3187.537573,-640875.296697,992960.869427,-765518.100919,-907345.283907,-883612.02283,-1084648.97688,-3747690.70717,-3203100.824726,-3210201.705718,-2939103.834522,-2924173.584482,-418171.992084,-3083839.06887,-2607796.264624
90.0,0.3515625,-309952.355618,-3352.761668,-640876.906023,992721.079912,-765504.153431,-907342.601698,-883582.518528,-1084636.638717,-3747674.613914,-3203056.300051,-3210163.081904,-2939082.913289,-2924101.701272,-418327.023784,-3083805.273033,-2607768.369647
91.0,0.35546875,-310068.227061,-3340.423505,-640185.968898,992701.231563,-759770.126315,-901666.510304,-879152.581591,-1078946.063393,-3741956.680054,-3197272.383842,-3204389.894532,-2933302.215731,-2920403.471041,-418416.073133,-3078068.027266,-2602032.196764
92.0,0.359375,-310101.486457,-2994.954943,-640188.114666,992884.694682,-760827.989677,-902768.89834,-879722.282853,-1079999.098778,-3743042.438393,-3198315.226831,-3205513.203801,-2934404.603768,-2920937.230699,-418049.683338,-3079169.342419,-2603084.695707
93.0,0.36328125,-309972.740409,-2965.45064,-640776.054952,992921.709171,-765548.141664,-907440.770559,-883238.659291,-1084697.256648,-3747746.497124,-3203065.956004,-3210248.912603,-2939149.432081,-2923819.53285,-418092.598688,-3083864.281638,-2607798.946833
94.0,0.3671875,-309959.865804,-3293.753063,-640757.815928,992687.284075,-765543.850129,-907423.067978,-883150.146383,-1084702.621067,-3747724.503007,-3203042.889004,-3210199.023509,-2939115.099801,-2923615.68494,-418243.875294,-3083819.220521,-2607793.582415
95.0,0.37109375,-309988.297223,-3337.204854,-640813.605882,992587.505887,-765539.558594,-907410.193373,-883331.463734,-1084702.084625,-3747705.727542,-3203027.33219,-3210169.519206,-2939088.81415,-2923858.693106,-418417.682459,-3083775.76873,-2607778.562043
96.0,0.375,-309953.964943,-2995.491385,-640865.640743,992726.444331,-765543.313687,-907402.683187,-883475.766596,-1084716.032114,-3747690.70717,-3203040.206795,-3210167.909881,-2939072.184452,-2924052.885062,-418248.166829,-3083765.039893,-2607777.489159
97.0,0.37890625,-309885.836826,-2930.045477,-640839.355092,992737.173168,-765545.459455,-907393.563675,-883379.743502,-1084723.5423,-3747673.54103,-3203032.160167,-3210150.207299,-2939050.726777,-2923826.506594,-418005.695105,-3083758.066149,-2607774.806949
98.0,0.3828125,-309900.320756,-3250.837714,-640815.215208,992511.867584,-765566.380688,-907418.240001,-883303.568757,-1084747.145742,-3747689.634286,-3203026.795748,-3210142.697113,-2939060.382731,-2923625.340894,-418067.38592,-3083760.211916,-2607783.390019
99.0,0.38671875,-309951.282734,-3372.073576,-640866.713627,992368.637606,-765551.896757,-907406.974722,-883467.183526,-1084731.588928,-3747668.176611,-3202989.244817,-3210107.828392,-2939034.633521,-2923858.693106,-418265.869411,-3083717.833009,-2607749.594182
100.0,0.390625,-309935.72592,-3063.619502,-640925.185791,992464.124258,-765543.850129,-907394.636559,-883644.209343,-1084735.880463,-3747647.791821,-3202986.562608,-3210100.854647,-2939014.24873,-2924126.914039,-418162.872572,-3083700.666869,-2607735.646693
101.0,0.39453125,-309865.452035,-2909.660686,-640910.70186,992423.354676,-765549.214548,-907394.636559,-883574.4719,-1084755.728812,-3747641.354518,-3202992.99991,-3210103.000415,-2939006.738544,-2923969.200131,-417890.896546,-3083709.786381,-2607742.083996
102.0,0.3984375,-309856.332523,-3199.339294,-640872.078046,992474.853095,-765543.850129,-907396.245884,-883452.163154,-1084756.265254,-3747631.698564,-3202961.886282,-3210071.886786,-2938991.718172,-2923717.608895,-417894.115197,-3083692.083799,-2607724.917856
103.0,0.40234375,-309911.049594,-3390.849041,-640912.847628,992372.392699,-765550.823873,-907411.266257,-883572.326132,-1084763.77544,-3747637.599425,-3202947.402352,-3210061.157949,-2938993.86394,-2923882.83299,-418098.499548,-3083678.13631,-2607715.261902
104.0,0.40625,-309916.414012,-3254.056365,-640976.68421,992449.640328,-765578.182409,-907433.796815,-883762.226553,-1084795.42551,-3747650.47403,-3202972.078678,-3210085.297833,-2939004.592777,-2924177.876017,-418068.458804,-3083688.865148,-2607731.355158
